testLocation,ppt,MeanLLM,MeanSLM,stdLLM,stdSLM,nSettings,LogAxisRatio,AxisRatioNormed,EllipseAngleUnnormed,timestart,CL,testSeason,age,birthLocation,birthNumber,birthSeason
0,043t,0.687621274698114,1.10674171560831,0.00507058333583781,0.18240017323234,41,0.348157202552753,2.22924192697216,91.059477084391,13-Oct-2021 14:08:25,0.749374937493749,2,26.75,1,1,3
1,044o,0.686002407618538,1.14241315923611,0.00857195432176485,0.129608395147737,26,0.370546138960891,2.34717861107612,92.6292066361953,04-Oct-2021 13:17:40,0.741574157415742,2,21.3333333333333,0,6,1
0,044t,0.686751824189012,1.09409465380614,0.00457111424304001,0.113688720272076,68,0.301376044811057,2.00159425028603,91.3845597362822,13-Oct-2021 17:14:10,0.748374837483748,2,20.9166666666667,0,11,3
1,045o,0.703034208382339,1.06538758391239,0.00788349770758728,0.180451635213349,42,0.441493498085367,2.76371654267517,91.9243433612336,05-Oct-2021 14:01:46,0.793579357935794,2,24.1666666666667,0,8,2
0,045t,0.695352972613355,1.18477278611961,0.0101320035130578,0.20703602261548,60,0.240767616569354,1.74087511210745,91.4148802282228,14-Oct-2021 13:16:21,0.761576157615762,2,23.6666666666667,0,2,4
1,046o,0.695327411111674,1.02907218497229,0.00986941434623813,0.229198968320666,54,0.31531771214657,2.06689165658233,91.5326138086223,07-Oct-2021 18:05:13,0.777177717771777,2,27.3333333333333,0,6,1
0,046t,0.67871055101147,1.31764805574942,0.00762441333703303,0.195269687266235,26,0.453642522187485,2.84212072919585,91.74475746148,14-Oct-2021 16:04:23,0.704970497049705,2,21.6666666666667,1,2,4
1,047o,0.688323750364131,1.12770130400924,0.00576731281444047,0.114695140788617,56,0.313598047702063,2.05872362206629,91.7832740017484,08-Oct-2021 08:20:34,0.749074907490749,2,22.5,0,3,4
0,047t,0.690590045267855,1.37472531928188,0.00620766798425658,0.164090405935407,61,0.250577059050975,1.78064382940236,91.1291589107406,15-Oct-2021 09:18:33,0.73007300730073,2,21.4166666666667,0,5,1
1,048o,0.678344568401373,1.30903108245808,0.0121397665059525,0.182643512926289,28,-0.0128328783124795,0.970883502902041,89.8870040811857,10-Oct-2021 10:21:54,0.704970497049705,2,26.5833333333333,0,3,4
0,048t,0.692327705680282,1.19434083960019,0.00976414300873618,0.293869773659853,39,0.034759503053276,1.08332683974101,90.1522091493513,15-Oct-2021 12:55:03,0.752775277527753,2,23.75,1,1,3
1,049o,0.689262067388223,1.06064770691765,0.00734855599617168,0.14814920070484,71,0.393625548519552,2.47528692908032,92.0460371572688,11-Oct-2021 11:16:19,0.758275827582758,2,21.4166666666667,0,5,1
0,049t,0.689294511432625,1.11702710638349,0.00760211701596735,0.219601703357621,89,0.376086003798377,2.37731102144451,91.387646542595,15-Oct-2021 15:08:54,0.752675267526753,2,23.4166666666667,0,5,1
1,050o,0.697728324206081,0.961176209496603,0.00625093597053075,0.128575507288661,31,0.468935746110798,2.9439860387023,92.2100838252885,14-Oct-2021 07:00:03,0.79027902790279,2,25.8333333333333,0,11,3
0,050t,0.693322059558918,1.07997025919136,0.0128556563143817,0.318912429001056,37,0.10512235696967,1.27386192492753,90.5492140535481,17-Oct-2021 15:10:58,0.766876687668767,2,25.3333333333333,1,6,1
1,051o,0.696340788042939,1.2028547397565,0.0124364936234778,0.160438348619552,18,0.570790809100485,3.72212375867929,93.8433425508126,17-Oct-2021 11:04:59,0.762276227622762,2,22.8333333333333,0,1,3
0,051t,0.68761314789584,1.1986868447473,0.00532822995122826,0.219915553754194,23,0.290826592113737,1.95355927035161,90.8120069127278,23-Nov-2021 09:42:53,0.74007400740074,3,19,0,11,3
1,052o,0.686652959229189,1.34290098341626,0.00851247885005702,0.18207848560254,36,0.538560729690006,3.45589651824544,92.2649931248559,18-Oct-2021 07:09:32,0.723072307230723,2,25,0,1,3
0,052t,0.695344603271722,1.26901618614153,0.0119080115471247,0.183818550187419,24,0.581065589678353,3.81123378516605,93.2333823288082,23-Nov-2021 14:08:14,0.753075307530753,3,24.9166666666667,1,12,3
1,053o,0.699281158549762,1.1785593229449,0.00531220370663214,0.11351842949016,17,0.44217047926953,2.76802800226108,92.0630868443417,22-Nov-2021 09:09:55,0.772377237723772,3,23,0,11,3
0,053t,0.690343688284848,1.02872186065822,0.00640025004688142,0.168085343369417,45,0.231055317927533,1.702375333342,91.0633697873418,26-Nov-2021 12:08:01,0.764376437643764,3,21.6666666666667,0,3,4
1,054o,0.694005685150736,1.10224598043945,0.00752209009092107,0.167727543797411,90,0.347115565523353,2.22390159091552,91.7066302530946,22-Nov-2021 13:16:38,0.766376637663766,3,27.6666666666667,0,4,4
0,054t,0.693633667584878,1.25393901156719,0.00657240447984545,0.445948159322749,10,0.143005316794574,1.38996964763459,90.2684732873439,29-Nov-2021 12:57:19,0.75017501750175,3,40.75,1,2,4
1,055o,0.693545894116657,1.08443169891077,0.00731182190867252,0.150411030915517,49,0.354460965541275,2.26183523651407,91.8761990769784,23-Nov-2021 14:04:59,0.766976697669767,3,21.0833333333333,0,10,2
0,055t,0.685425199939969,1.40613499325173,0.00588909689556509,0.166261434633598,27,0.501088042808922,3.1702100821008,91.6623616529614,30-Nov-2021 09:37:19,0.713471347134713,3,22.5833333333333,1,4,4
1,056o,0.695563466177564,0.936782208778454,0.0050297065303858,0.0864003547253614,19,0.262541129321187,1.83037944192192,91.8057244755793,24-Nov-2021 11:21:15,0.787178717871787,3,27.5,0,5,1
0,056t,0.688596714325376,1.22073646077846,0.00994224069083881,0.216309945461837,42,0.226196723229857,1.68343643792038,91.2615662906544,30-Nov-2021 12:38:38,0.74037403740374,3,24.75,0,3,4
1,057o,0.694868868914251,1.11240074441727,0.00426190418083076,0.102417912109974,50,0.316862019522404,2.07425439767605,91.4861988856848,24-Nov-2021 14:20:41,0.767576757675768,3,22,1,11,3
0,057t,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,3,22.4166666666667,1,6,1
1,058o,0.690415402030599,1.03642791938919,0.0089116519167271,0.194824627874474,27,0.0424790521707361,1.10275504210426,90.2560611376151,25-Nov-2021 11:15:53,0.763776377637764,3,30,1,11,3
0,058t,0.688624363214639,1.1789899637632,0.00676589026062281,0.313289323733098,35,0.10478692343691,1.2728784193756,90.293019936445,03-Dec-2021 12:06:05,0.744674467446745,3,23.6666666666667,1,4,4
1,059o,0.685904789744317,1.24887843856924,0.00618063354448596,0.148629161855672,18,0.77331718449382,5.93358522376054,92.2502539368693,26-Nov-2021 11:09:17,0.730573057305731,3,26.9166666666667,1,12,3
0,059t,0.683021945781978,1.15229191760238,0.0087662883514637,0.131066042532594,27,0.0155078727851864,1.03635339102404,90.1373964294838,03-Dec-2021 15:07:36,0.732873287328733,3,19.5,1,6,1
1,060o,0.692028268926271,1.0519643362139,0.00727431531335797,0.155176192902601,45,0.189316561571223,1.54638120148638,91.1037830697312,26-Nov-2021 18:14:43,0.766376637663766,3,19.6666666666667,0,3,4
0,060t,0.690401469909317,1.06134700462495,0.00798306452546921,0.20284261852085,83,0.357839171978985,2.27949777160015,91.5279948885576,06-Dec-2021 09:08:08,0.761176117611761,3,33.0833333333333,1,10,2
